Time;Perf_Time;Action
14:57:46;600.645864;h
14:57:46;600.7806538;e
14:57:47;601.0210869;SPACE
14:57:48;601.934139;l
14:57:48;601.9447172;a
14:57:48;602.1117279;s
14:57:48;602.2245422;t
14:57:48;602.4875196;SPACE
14:57:50;604.1936386;BACK
14:57:50;604.2327963;BACK
14:57:52;606.0292231;n
14:57:52;606.1191077;e
14:57:52;606.3614355;x
14:57:52;606.4413941;t
14:57:52;606.6593142;SPACE
14:57:53;606.9824974;v
14:57:53;607.0497218;a
14:57:53;607.3893149;c
14:57:53;607.6019113;a
14:57:53;607.7197969;t
14:57:54;607.9550833;i
14:57:54;608.1144404;o
14:57:54;608.2805412;n
14:57:54;608.8079082;SPACE
14:57:55;609.1865083;i
14:57:55;609.2331153;s
14:57:55;609.4078812;SPACE
14:57:55;609.6433536;g
14:57:55;609.7671709;o
14:57:56;609.9319632;i
14:57:56;610.1223318;n
14:57:56;610.2505869;g
14:57:56;610.3799474;SPACE
14:57:56;610.5610643;t
14:57:56;610.6963859;i
14:57:57;610.9314913;o
14:57:57;610.947218;SPACE
14:57:57;611.1217894;b
14:57:57;611.239695;e
14:57:57;611.3348008;SPACE
14:57:57;611.5646037;i
14:57:57;611.6842745;I
14:57:57;611.6996558;SPACE
14:57:58;612.7924415;BACK
14:57:59;613.2934331;BACK
14:57:59;613.5925198;i
14:57:59;613.7746919;n
14:58:00;613.9670952;o
14:58:00;613.9755588;SPACE
14:58:00;614.2705633;c
14:58:00;614.7952784;BACK
14:58:01;614.9357914;BACK
14:58:01;615.1099146;BACK
14:58:01;615.248763;BACK
14:58:02;615.9667341;i
14:58:02;616.1005535;n
14:58:02;616.3111102;SPACE
14:58:02;616.6809418;c
14:58:03;616.9968532;o
14:58:03;617.1507295;r
14:58:03;617.737121;BACK
14:58:03;617.8588768;BACK
14:58:04;617.9603016;r
14:58:04;618.098875;o
14:58:04;618.4189763;a
14:58:05;619.2455552;Ctia
14:58:05;619.2777671;SPACE
14:58:05;619.6167663;BACK
14:58:05;619.6427137;.
14:58:05;619.6583178;SPACE
14:58:06;620.6747101;BACK
14:58:06;620.7824462;BACK
14:58:07;621.2711348;SPACE
14:58:07;621.5000534;w
14:58:07;621.5409208;i
14:58:07;621.803875;t
14:58:08;621.9112674;h
14:58:08;622.1186167;SPACE
14:58:08;622.3131185;t
14:58:08;622.4596077;h
14:58:08;622.6311755;e
14:58:08;622.7287985;SPACE
14:58:09;623.1099788;b
14:58:09;623.3133535;o
14:58:09;623.6187199;y
14:58:09;623.6281626;s
14:58:09;623.8249733;SPACE
14:58:10;624.1796275;BACK
14:58:10;624.1908833;.
14:58:10;624.2074411;SPACE
14:58:13;626.9236336;I
14:58:13;627.3650572;t
14:58:13;627.5355872;s
14:58:13;627.6155294;'
14:58:13;627.6267751;SPACE
14:58:14;628.4843361;g
14:58:14;628.593785;o
14:58:14;628.758264;i
14:58:15;628.9088121;n
14:58:15;629.0223695;g
14:58:15;629.149203;SPACE
14:58:15;629.3491705;t
14:58:15;629.4554345;o
14:58:15;629.6960578;SPACE
14:58:16;629.9519154;b
14:58:16;630.0114801;e
14:58:16;630.1527845;SPACE
