Time;Perf_Time;Action
07:47:13;1707919.02373203;a
07:47:13;1707919.102270274;d
07:47:13;1707919.140635935;SPACE
07:47:13;1707919.277852276;a
07:47:13;1707919.364158605;SPACE
07:47:13;1707919.404632069;d
07:47:13;1707919.543221097;a
07:47:13;1707919.605550085;f
07:47:13;1707919.620285673;SPACE
07:47:13;1707919.741882486;d
07:47:13;1707919.909537461;SPACE
07:47:13;1707919.925309839;f
07:47:13;1707919.987650511;a
07:47:14;1707920.126577109;d
07:47:14;1707920.325110128;e
07:47:14;1707920.49427044;f
07:47:14;1707920.5340814;a
07:47:14;1707920.588374419;d
07:47:14;1707920.651214996;SPACE
07:47:14;1707920.829789384;f
07:47:14;1707920.853605717;e
07:47:15;1707921.054137851;f
07:47:15;1707921.09307025;d
07:47:15;1707921.158406947;a
07:47:15;1707921.2855559;SPACE
07:47:15;1707921.331543824;d
07:47:15;1707921.51657077;c
07:47:15;1707921.63792696;v
07:47:15;1707921.823624332;a
07:47:16;1707922.022588455;SPACE
07:47:16;1707922.037063179;d
07:47:16;1707922.063188709;f
07:47:16;1707922.261362849;e
07:47:16;1707922.420881902;a
07:47:16;1707922.446333226;SPACE
07:47:16;1707922.526101384;d
07:47:16;1707922.60537998;f
07:47:16;1707922.828924705;e
07:47:16;1707922.909182674;SPACE
07:47:17;1707923.413707495;a
07:47:17;1707923.57323723;d
07:47:17;1707923.59031185;f
07:47:17;1707923.709819208;SPACE
07:47:17;1707923.814368367;d
07:47:17;1707923.997221201;a
07:47:18;1707924.077683007;SPACE
07:47:18;1707924.134439746;d
07:47:18;1707924.620488682;c
07:47:18;1707924.86256887;d
07:47:18;1707924.943662345;f
07:47:19;1707925.047081734;SPACE
07:47:19;1707925.061373122;a
07:47:19;1707925.0900527;d
07:47:19;1707925.427528853;x
07:47:19;1707925.461624553;c
07:47:19;1707925.631037858;SPACE
07:47:19;1707925.685939966;v
07:47:19;1707925.709103162;a
07:47:19;1707925.886476667;f
07:47:20;1707926.074491501;e
07:47:20;1707926.310221034;a
07:47:20;1707926.468794833;d
07:47:20;1707926.494263855;SPACE
07:47:20;1707926.611820947;f
07:47:20;1707926.773476562;e
07:47:20;1707926.932999731;a
07:47:21;1707927.013482629;d
07:47:21;1707927.132872434;SPACE
07:47:21;1707927.437503341;c
07:47:21;1707927.478169026;v
07:47:21;1707927.716503836;d
07:47:21;1707927.83665774;a
07:47:22;1707928.046159874;v
07:47:22;1707928.183234723;SPACE
07:47:22;1707928.226637567;f
07:47:22;1707928.38227839;d
07:47:22;1707928.449518614;a
07:47:22;1707928.630268025;SPACE
07:47:22;1707928.644396249;e
07:47:22;1707928.846965937;e
07:47:22;1707928.884958539;f
07:47:23;1707929.096143414;d
07:47:23;1707929.189022802;a
07:47:23;1707929.375688776;d
07:47:23;1707929.41875692;SPACE
07:47:23;1707929.637846262;f
07:47:23;1707929.718024832;d
07:47:23;1707929.980204063;v
07:47:24;1707930.156759214;d
07:47:24;1707930.301061504;a
07:47:24;1707930.397628579;SPACE
07:47:24;1707930.477783435;d
07:47:24;1707930.639785736;e
07:47:24;1707930.863572216;f
07:47:24;1707930.926877173;a
07:47:25;1707931.125381475;f
07:47:25;1707931.165785063;e
07:47:25;1707931.446586896;a
07:47:25;1707931.485129241;d
07:47:25;1707931.604882569;SPACE
07:47:25;1707931.726859983;f
07:47:25;1707931.93602806;v
07:47:26;1707932.109350693;d
07:47:26;1707932.270603694;a
07:47:26;1707932.398042249;f
07:47:26;1707932.477848335;e
07:47:26;1707932.61258019;f
07:47:26;1707932.73395515;a
07:47:26;1707932.856844531;x
07:47:27;1707933.189851554;d
