Time;Perf_Time;Action
08:19:54;2401080.944492394;F
08:19:55;2401081.270142162;o
08:19:55;2401081.386415204;r
08:19:55;2401081.474105321;SPACE
08:19:56;2401082.196645632;BACK
08:19:56;2401082.628616627;SPACE
08:19:56;2401082.812999926;m
08:19:56;2401082.949778781;y
08:19:57;2401083.022931751;SPACE
08:19:57;2401083.507550151;u
08:19:57;2401083.763266897;p
08:19:58;2401084.267825722;c
08:19:58;2401084.389320624;o
08:19:58;2401084.563712578;m
08:19:58;2401084.821775836;i
08:19:58;2401084.966122141;n
08:19:59;2401085.057081886;g
08:19:59;2401085.127608952;SPACE
08:20:01;2401087.432016679;v
08:20:01;2401087.542722636;a
08:20:01;2401087.863850706;c
08:20:02;2401088.092770549;a
08:20:02;2401088.314786433;t
08:20:02;2401088.600224802;i
08:20:02;2401088.731264859;o
08:20:02;2401088.889681431;n
08:20:03;2401089.615690947;SPACE
08:20:03;2401089.980989091;i
08:20:04;2401090.263456571;SPACE
08:20:05;2401091.410832501;a
08:20:05;2401091.415204878;m
08:20:05;2401091.587074834;SPACE
08:20:06;2401092.115118997;p
08:20:06;2401092.291929648;l
08:20:06;2401092.342134834;ö
08:20:06;2401092.846343197;BACK
08:20:07;2401093.356828759;a
08:20:07;2401093.420892628;n
08:20:07;2401093.564144059;n
08:20:07;2401093.746936996;i
08:20:07;2401093.887534994;n
08:20:07;2401093.947307467;g
08:20:08;2401094.05540867;BACK
08:20:08;2401094.082116762;SPACE
08:20:08;2401094.631321711;BACK
08:20:08;2401094.715252377;BACK
08:20:08;2401094.852790266;BACK
08:20:09;2401095.006208588;BACK
08:20:09;2401095.109782713;BACK
08:20:09;2401095.222519244;BACK
08:20:09;2401095.359714461;BACK
08:20:09;2401095.49228122;BACK
08:20:10;2401096.288639668;p
08:20:10;2401096.522199962;l
08:20:10;2401096.732875172;a
08:20:10;2401096.816829842;n
08:20:10;2401096.959424072;n
08:20:11;2401097.207996192;i
08:20:11;2401097.380046598;n
08:20:11;2401097.477858318;g
08:20:11;2401097.558381586;SPACE
08:20:12;2401098.422850013;t
08:20:12;2401098.576142339;o
08:20:12;2401098.764357563;SPACE
08:20:15;2401101.6308593;BACK
08:20:16;2401102.126964505;BACK
08:20:16;2401102.237212802;BACK
08:20:16;2401102.332912915;BACK
08:20:16;2401102.431628429;BACK
08:20:16;2401102.531687334;BACK
08:20:16;2401102.628955443;BACK
08:20:16;2401102.730260556;BACK
08:20:16;2401102.829626879;BACK
08:20:16;2401102.930135779;BACK
08:20:17;2401103.030425444;BACK
08:20:17;2401103.130506622;BACK
08:20:17;2401103.229305322;BACK
08:20:17;2401103.329274337;BACK
08:20:17;2401103.768133747;BACK
08:20:18;2401104.421730184;w
08:20:18;2401104.574886627;a
08:20:18;2401104.632456761;n
08:20:18;2401104.78140836;t
08:20:18;2401104.820071556;n
08:20:18;2401104.824586681;SPACE
08:20:19;2401105.419455639;BACK
08:20:19;2401105.558849761;BACK
08:20:19;2401105.703135351;t
08:20:19;2401105.811907979;SPACE
08:20:20;2401106.421848911;t
08:20:20;2401106.485585646;o
08:20:20;2401106.657425739;SPACE
08:20:20;2401106.813071226;g
08:20:20;2401106.95558758;o
08:20:21;2401107.123005942;G
08:20:21;2401107.136523383;SPACE
08:20:21;2401107.748842528;BACK
08:20:21;2401107.908872629;BACK
08:20:22;2401108.050378045;BACK
08:20:22;2401108.103474544;BACK
08:20:22;2401108.798641945;SPACE
08:20:24;2401110.244937526;e
08:20:24;2401110.754144843;x
08:20:25;2401111.946429988;p
08:20:26;2401112.11357238;m
08:20:26;2401112.341993401;r
08:20:26;2401112.547529226;e
08:20:26;2401112.656909624;Ess
08:20:26;2401112.675625003;SPACE
08:20:27;2401113.209283025;BACK
08:20:27;2401113.3435813;BACK
08:20:27;2401113.449572565;BACK
08:20:27;2401113.562583401;BACK
08:20:27;2401113.695548016;BACK
08:20:27;2401113.796081301;BACK
